上期加入词根,罐,超长,饭桶,便当,盒,便携,烧,闷,壶,1,人,多层,,,,,,,,,
本期剔除词根,0.00%,不锈钢,304,杯,小时,24,成人,超长,,,,,,,,,,,,,
本期加入词根,,,,,,,,,,,,,,,,,,,,,
新标题,30,日本泰福高焖烧锅保温饭盒桶罐超长饭桶便当盒便携烧闷壶1人多层,日本,泰福高,焖烧,锅,保温,饭盒,桶,罐,超长,饭桶,便当,盒,便携,烧,闷,壶,1,人,多层
原标题,30,日本泰福高焖烧锅超长保温饭盒成人24小时焖烧杯304不锈钢保温桶,日本,泰福高,焖烧,锅,超长,保温,饭盒,成人,24,小时,杯,304,不锈钢,桶,,,,,
保留词根,日本,泰福高,,,,,,,,,,,,,,,,,,,
非法词根,进口,,,,,,,,,,,,,,,,,,,,
最大词根留存长度,25,,,,,,,,,,,,,,,,,,,,
流量来源,访客数,下单买家数,下单转化率,,,,,,,,,,,,,,,,,,
焖烧锅,57,1,1.75%,焖烧锅,焖烧,锅,,,,,,,,,,,,,,,
保温饭盒,38,1,2.63%,保温饭盒,保温,饭盒,,,,,,,,,,,,,,,
焖烧罐 超长保温,17,1,5.88%,焖烧罐 超长保温,焖烧,保温,罐,超长,,,,,,,,,,,,,
保温桶,17,1,5.88%,保温桶,保温,桶,,,,,,,,,,,,,,,
日本焖烧杯原装进口,2,1,50.00%,日本焖烧杯原装进口,日本,焖烧,杯,进口,,,,,,,,,,,,,
保温饭桶,2,1,50.00%,保温饭桶,保温,饭桶,,,,,,,,,,,,,,,
搜索词,,,,,,,,,,,,,,,,,,,,,
保温饭盒便当盒,保温,饭盒,便当,盒,,,,,,,,,,,,,,,,,
保温桶饭盒 便携,保温,饭盒,桶,便携,,,,,,,,,,,,,,,,,
闷烧壶,烧,闷,壶,,,,,,,,,,,,,,,,,,
焖烧杯 焖粥神器,焖烧,杯,焖,粥,神器,,,,,,,,,,,,,,,,
保温饭盒 1人,饭盒,保温,1,人,,,,,,,,,,,,,,,,,
不锈钢保温饭盒桶,不锈钢,保温,饭盒,桶,,,,,,,,,,,,,,,,,
多层保温饭盒,保温,饭盒,多层,,,,,,,,,,,,,,,,,,
餐盒饭盒 学生,饭盒,学生,餐盒,,,,,,,,,,,,,,,,,,
餐盒饭盒便当盒分格,饭盒,分,格,便当,盒,餐盒,,,,,,,,,,,,,,,
保饭盒保温 12小时,保温,饭盒,小时,12,保,,,,,,,,,,,,,,,,
焖烧壶保温饭盒,焖烧,保温,饭盒,壶,,,,,,,,,,,,,,,,,
便当盒分格,盒,便当,分,格,,,,,,,,,,,,,,,,,
不锈钢保温饭盒,保温,饭盒,不锈钢,,,,,,,,,,,,,,,,,,
保温饭盒 3层,保温,饭盒,层,3,,,,,,,,,,,,,,,,,
网红饭盒,饭盒,网红,,,,,,,,,,,,,,,,,,,
焖烧罐 超长保温,焖烧,保温,罐,超长,,,,,,,,,,,,,,,,,
闷烧罐,烧,闷,罐,,,,,,,,,,,,,,,,,,
闷烧保温饭盒,烧,保温,饭盒,闷,,,,,,,,,,,,,,,,,
保温饭盒女,饭盒,保温,女,,,,,,,,,,,,,,,,,,
